                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1179,                 1.0838,                 1.4335,                0.75549,                0.73011,                0.78163,                0.47699,                 1.3839,                 1.0764,                 1.6636,              0.0010955,              0.0010955,              0.0010955
                     35,                 1.1306,                 1.0792,                 1.4362,                0.84044,                0.84719,                0.86396,                0.44956,                   1.55,                0.95893,                 1.8598,              0.0010854,              0.0010854,              0.0010854
                     36,                 1.1436,                 1.0725,                 1.4523,                0.65074,                0.70458,                0.69561,                0.37891,                 1.6399,                 1.2092,                  1.898,              0.0010753,              0.0010753,              0.0010753
                     37,                  1.104,                   1.05,                 1.4156,                0.78349,                0.81823,                0.87746,                 0.5203,                 1.4389,                 1.0595,                 1.6813,              0.0010652,              0.0010652,              0.0010652
                     38,                 1.0752,                 1.0606,                 1.3918,                0.81293,                0.75249,                0.82945,                0.44676,                 1.5097,                 1.1831,                 1.7546,              0.0010551,              0.0010551,              0.0010551
                     39,                 1.0727,                0.99848,                  1.379,                0.86482,                 0.7842,                0.86386,                0.46797,                 1.5002,                0.97571,                 1.8101,               0.001045,               0.001045,               0.001045
                     40,                 1.0884,                 1.0112,                 1.4082,                0.75323,                 0.7978,                0.77696,                0.38734,                 1.6908,                 1.1443,                 1.9557,              0.0010349,              0.0010349,              0.0010349
                     41,                 1.0645,                0.98225,                  1.386,                0.76876,                0.83203,                 0.8437,                0.47644,                 1.4725,                0.94173,                 1.6556,              0.0010248,              0.0010248,              0.0010248
                     42,                 1.0498,                0.98613,                  1.393,                0.87055,                0.74747,                0.84179,                0.48082,                   1.48,                0.89691,                 1.7477,              0.0010147,              0.0010147,              0.0010147
                     43,                 1.0762,                0.96113,                 1.3723,                 0.8195,                 0.8529,                0.87406,                 0.4789,                 1.5882,                0.83815,                 1.9725,              0.0010046,              0.0010046,              0.0010046
                     44,                 1.0478,                0.95152,                  1.382,                 0.8073,                0.78836,                0.83575,                0.49132,                 1.5275,                0.97978,                 1.7556,             0.00099448,             0.00099448,             0.00099448
                     45,                 1.0312,                0.95259,                 1.3648,                0.61488,                0.75209,                0.67849,                 0.4079,                 1.5019,                 1.2678,                 1.7439,             0.00098438,             0.00098438,             0.00098438
                     46,                 1.0126,                0.92286,                 1.3596,                 0.8228,                0.89926,                0.90359,                0.52635,                 1.4017,                0.81466,                 1.6675,             0.00097427,             0.00097427,             0.00097427
                     47,                 1.0097,                0.90009,                 1.3463,                0.85025,                0.78866,                0.85922,                0.52576,                 1.3888,                0.84742,                 1.6709,             0.00096417,             0.00096417,             0.00096417
                     48,                0.99907,                 0.9032,                 1.3505,                 0.9424,                0.79025,                0.88921,                 0.5161,                 1.4288,                0.79888,                 1.7868,             0.00095406,             0.00095406,             0.00095406
                     49,                0.97118,                0.88714,                 1.3222,                 0.8484,                0.74187,                0.85001,                0.48445,                  1.402,                0.88874,                 1.6942,             0.00094396,             0.00094396,             0.00094396
                     50,                 1.0183,                0.87261,                 1.3398,                0.83461,                0.83975,                0.88634,                0.50155,                 1.3716,                0.83596,                 1.6912,             0.00093385,             0.00093385,             0.00093385
                     51,                0.93887,                0.85672,                 1.3149,                0.57222,                 0.8779,                0.76534,                0.47169,                 1.3543,                  1.005,                 1.6333,             0.00092375,             0.00092375,             0.00092375
                     52,                0.97967,                0.84652,                 1.3378,                0.83143,                0.86632,                0.87909,                0.53103,                 1.2941,                0.77259,                 1.5658,             0.00091364,             0.00091364,             0.00091364
                     53,                0.96232,                0.84691,                 1.3002,                0.73126,                0.87655,                0.84429,                0.46872,                 1.3782,                0.88511,                 1.6275,             0.00090354,             0.00090354,             0.00090354
                     54,                0.95646,                0.88774,                 1.3122,                0.77113,                0.90336,                 0.8789,                0.56297,                 1.2704,                0.76971,                 1.5693,             0.00089343,             0.00089343,             0.00089343
                     55,                0.96585,                0.83534,                 1.2918,                 0.8408,                0.89926,                0.90019,                0.50565,                 1.3705,                0.78259,                  1.665,             0.00088333,             0.00088333,             0.00088333
                     56,                0.92516,                0.80651,                 1.2891,                0.89568,                0.87138,                 0.9059,                0.53682,                 1.3217,                0.78141,                 1.6126,             0.00087322,             0.00087322,             0.00087322
                     57,                0.94549,                0.79892,                 1.2858,                0.83083,                0.84983,                0.84885,                0.49395,                 1.4111,                0.82695,                 1.7415,             0.00086312,             0.00086312,             0.00086312
                     58,                0.95056,                0.80253,                 1.3026,                0.85836,                0.90381,                0.89846,                0.54981,                 1.3898,                0.78002,                 1.6672,             0.00085301,             0.00085301,             0.00085301
                     59,                0.92859,                0.78518,                 1.2882,                0.93601,                 0.7564,                0.84831,                 0.5109,                 1.3871,                0.90461,                 1.7124,             0.00084291,             0.00084291,             0.00084291
                     60,                0.89571,                0.78289,                 1.2648,                0.91505,                0.81102,                0.88966,                0.54894,                 1.4303,                0.89551,                 1.7031,              0.0008328,              0.0008328,              0.0008328
                     61,                0.88361,                0.75384,                 1.2642,                0.78178,                0.80889,                0.86831,                 0.5357,                 1.4185,                0.81425,                 1.7206,              0.0008227,              0.0008227,              0.0008227
                     62,                0.91451,                 0.7512,                 1.2592,                0.79006,                0.77747,                0.83781,                0.52434,                 1.3866,                0.80202,                 1.6995,             0.00081259,             0.00081259,             0.00081259
                     63,                0.91449,                0.75826,                 1.2673,                0.78397,                0.74052,                0.83271,                 0.4759,                 1.4556,                0.90706,                 1.7175,             0.00080249,             0.00080249,             0.00080249
                     64,                0.91172,                0.76172,                 1.2714,                0.92202,                0.89114,                0.94331,                0.52009,                 1.4206,                0.72324,                 1.7264,             0.00079238,             0.00079238,             0.00079238
                     65,                0.88589,                0.73913,                 1.2445,                0.88006,                0.88593,                0.91504,                0.55346,                 1.3527,                0.71757,                 1.7046,             0.00078228,             0.00078228,             0.00078228
                     66,                0.87898,                0.71859,                 1.2632,                0.81015,                0.90773,                0.88637,                0.52392,                 1.3294,                0.75274,                 1.6998,             0.00077217,             0.00077217,             0.00077217
                     67,                0.89403,                0.76499,                 1.2573,                0.81208,                0.89298,                  0.889,                0.54766,                 1.3328,                0.74901,                 1.7278,             0.00076207,             0.00076207,             0.00076207
                     68,                0.85951,                0.72554,                 1.2413,                0.92741,                0.76274,                 0.8876,                0.53449,                 1.3815,                0.77966,                 1.6761,             0.00075196,             0.00075196,             0.00075196
                     69,                0.83235,                0.71674,                  1.232,                0.87628,                0.85898,                0.90255,                0.52042,                 1.3302,                0.83181,                 1.7162,             0.00074186,             0.00074186,             0.00074186
                     70,                0.84974,                0.68129,                 1.2225,                0.88833,                0.84593,                0.92033,                0.51773,                 1.3612,                0.82154,                  1.676,             0.00073175,             0.00073175,             0.00073175
                     71,                0.85039,                 0.6971,                 1.2333,                0.87429,                0.82604,                0.88843,                0.50602,                 1.3442,                0.81006,                 1.6701,             0.00072164,             0.00072164,             0.00072164
